영문공항명,한글공항명,공항코드1(IATA),한글국가명
Kenosha Regional Airport,케노샤 공항,ENW,미국
Keperveyem Airport,케퍼베옐 공항,KPW,러시아
Kerben Airport,케르벤 공항,n/a,키르기스스탄
Kerema Airport,케레마 공항,KMA,파푸아뉴기니
Kerikeri Airport,케리케리 공항,KKE,뉴질랜드
Kerki Airport,케르키 공항,KEA,투르크메니스탄
Kerman Airport,케르만 공항,KER,이란
Kerry Airport,케리 공항,KIR,아일랜드
Kertajati International Airport,케르타자티 국제공항,KJT,인도네시아
Kerteh Airport,케르테 공항,KTE,말레이시아
Keshod Airport,케쇼드 공항,IXK,인도
Ketchikan International Airport,케치칸 국제공항,KTN,미국
Key West International Airport,키웨스트 국제 공항,EYW,미국
Khabarovsk Novy Airport,하바롭스크 노비 공항,KHV,러시아
Khamti Airport,캄티 공항,KHM,미얀마
Khanty Mansiysk Airport,한티 만시스크 공항,HMA,러시아
Kharg Airport,카르그 공항,KHK,이란
Kharkiv International Airport,하르키우 국제공항,HRK,우크라이나
Khartoum International Airport,하르툼 국제 공항,KRT,수단
Khasab Airport,카삽 공항,KHS,오만
Khatanga Airport,카탕가 공항,HTG,러시아
Khatgal Airport,카트갈 공항,HTM,몽골
Kherson International Airport,헤르손 국제 공항,KHE,우크라이나
Khmelnytskyi Airport,크멜니츠키 공항,HMJ,우크라이나
Khok Kathiam Air Force Base,콕 카티암 공군기지,KKM,태국
Khon Kaen Airport,콘캔 공항,KKC,태국
Khorog Airport,코로그 공항,n/a,타지키스탄
Khorramabad Airport,코라마바드 공항,KHD,이란
Khost Airfield,고스트 비행장,KHT,아프가니스탄
Khotang Bazar Thamkharkar Airport,코탕 바자르 탐하카르 공항,n/a,네팔
Khovd Airport,호브드 공항,HVD,몽골
Khoy Airport,코이 공항,KHY,이란
Khrabrovo Airport,크라브로보 공항,KGD,러시아
Khujand Airport,후잔트 공항,LBD,타지키스탄
Kichwa Tembo Airport,키츠와 템보 공항,KTJ,케냐
Kiel Airport,킬 공항,KEL,독일
Kigali International Airport,키갈리 국제공항,KGL,르완다
Kigoma Airport,키고마 공항,TKQ,탄자니아
Kihihi Airstrip,키히히 활주로,KHX,우간다
Kikai Airport,기카이 공항,KKX,일본
Kikori Airport,키코리 공항,KRI,파푸아뉴기니
Kili Airport,킬리 공항,KIO,마샬 군도
Kilimanjaro International Airport,킬리만자로 국제 공항,JRO,탄자니아
Killeen Fort Hood Regional Airport,킬린 포트 후드 공항,GRK,미국
Kilwa Masoko Airport,킬와 마소코 공항,KIY,탄자니아
Kimberley Airport,킴벌리 공항,KIM,남아프리카
Kimmirut Airport,킴미루트 공항,YLC,캐나다
Kindu Airport,킨두 공항,KND,콩고 민주공화국
King Abdulaziz International Airport,킹 압둘아지즈 국제공항,JED,사우디아라비아
King County International Airport,킹 카운티 국제공항,BFI,미국
King Cove Airport,킹 코브 공항,KVC,미국
King Fahd International Airport,킹 파드 국제 공항,DMM,사우디아라비아
King Hussein International Airport,킹 후세인 국제공항,AQJ,요르단
King Island Airport,킹 아일랜드 공항,KNS,오스트레일리아
King Khalid International Airport,킹 칼리드 국제 공항,RUH,사우디아라비아
King Mswati III International Airport,킹 음스와티 3세 국제공항,SHO,에스와티니
King Phalo Airport,킹 팔로 공항,ELS,남아프리카
King Salmon Airport,킹 새먼 공항,AKN,미국
King Shaka International Airport,킹 샤카 국제 공항,DUR,남아프리카
Kingfisher Lake Airport,킹피셔 레이크 공항,KIF,캐나다
Kingman Airport,킹맨 공항,IGM,미국
Kingscote Airport,킹스코트 공항,KGC,오스트레일리아
Kingston Norman Rogers Airport,킹스턴/노먼 로저스 공항,YGK,캐나다
Kinmen Airport,진먼 공항,KNH,대만
Kinston Regional Jetport ,킨스턴 지역 제트포트,ISO,미국
Kipnuk Airport,킵누크 공항,KPN,미국
Kirakira Airport,키라키라 공항,IRA,솔로몬 제도
Kirawira B Airstrip,키라위라 B 활주로,GTZ,탄자니아
Kirensk Airport,키렌스크 공항,KCK,러시아
Kirkenes Airport,키르케네스 공항,KKN,노르웨이
Kirksville Regional Airport,커크스빌 공항,IRK,미국
Kirkuk Airport,키르쿠크 공항,KIK,이라크
Kirkwall Airport,커크월 공항,KOI,영국
Kirovsk Apatity Airport,키로프스크 아파티티 공항,KVK,러시아
Kiruna Airport,키루나 공항,KRN,스웨덴
Kish International Airport,키시 국제공항,KIH,이란
Kismayo Airport,키스마요 공항,KMU,소말리아
Kisumu International Airport,키수무 국제공항,KIS,케냐
Kitadaito Airport,기타다이토 공항,KTD,일본
Kitakyushu Airport,기타큐슈 공항,KKJ,일본
Kitale Airport,키탈레 공항,KTL,케냐
Kithira Island National Airport,키티라 아일랜드 내셔널 공항,KIT,그리스
Kitoi Bay Seaplane Base,키토이만 수상비행기 기지,KKB,미국
KittilA Airport,키틸라 공항,KTT,핀란드
Kiunga Airport,기웅가 공항,UNG,파푸아뉴기니
Kivalina Airport,키발리나 공항,KVL,미국
Klagbay Airport,클라그베이 공항,n/a,미국
Klagenfurt Airport,클라겐푸르트 공항,KLU,오스트리아
Klamath Falls Airport,클래머스 폴스 공항,LMT,미국
Klawock Airport,클라웍 공항,KLW,미국
Klemtu Water Aerodrome,클렘투 수상비행장,YKT,캐나다
Knox County Regional Airport,녹스 카운티 공항,RKD,미국
Kobe Airport,고베 공항,UKB,일본
Kobuk Airport,고북공항,OBU,미국
Kochi Ryoma Airport,고치 료마 공항,KCZ,일본
Kodiak Airport,코디악 공항,ADQ,미국
Kodiak Municipal Airport,코디악 공항,KDK,미국
Kogalym International Airport,코갈림 국제공항,KGP,러시아
Koggala Airport,코갈라 공항,KCT,스리랑카
Kokhanok Airport,코하녹 공항,KNK,미국
Kokkola Pietarsaari Airport,코콜라 피에타르사리 공항,KOK,핀란드
Kokoda Airport,코코다 공항,KKD,파푸아뉴기니
Kokshetau Airport,콕셰타우 공항,KOV,카자흐스탄
Kolda North Airport,콜다 노스 공항,KDA,세네갈
Kolhapur Airport,콜라푸르 공항,KLH,인도
Koliganek Airport,콜리가넥 공항,KGK,미국
Koltsovo International Airport,콜초보 국제 공항,SVX,러시아
Kolwezi Airport,콜웨지 공항,KWZ,콩고 민주공화국
Komatsu Airport,고마쓰 공항,KMQ,일본
Kombolcha Airport,콤볼차 공항,DSE,이디오피아
Komo Manda Airport,코모만다 공항,KOM,파푸아뉴기니
Komodo Airport,코모도 공항,LBJ,인도네시아
Komsomolsk on Amur Airport,콤소몰스크 온 아무르 공항,KXK,러시아
Kona International Airportat Kehole,케아홀 코나 국제공항,KOA,미국
Konarak Airport,코나라크 공항,ZBR,이란
Kondavattavan Tank Seaplane Base,콘다바타반 탱크 수상비행기 기지,AFK,스리랑카
Kone Airport,코네 공항,KNQ,뉴칼레도니아
Kongiganak Airport,콩기가낙 공항,KKH,미국
Kongolo Airport,콩골로 공항,KOO,콩고 민주공화국
Konya Airport,콘야 공항,KYA,터키
Kooddoo Airport,쿠두 공항,GKK,몰디브
Korhogo Airport,코로고 공항,HGO,코트디부아르
Korla Airport,코를라 공항,KRL,중국
Koro Airport,고로 공항,KXF,피지
Koromiko Airport,코로미코 공항,PCN,뉴질랜드
Kortrijk Wevelgem International Airport,코르트레이크 베벨겜 국제공항,KJK,벨기에
Kos Island International Airport,코스 아일랜드 국제 공항,KGS,그리스
Kosice International Airport,코시체 국제 공항,KSC,슬로바키아
Kosrae International Airport,코스라에 국제공항,KSA,미크로네시아연방
Kostanay Airport,코스타나이 공항,KSN,카자흐스탄
Kostroma Airport,코스트로마 공항,KMW,러시아
Kota Airport,코타 공항,KTU,인도
Kota Kinabalu International Airport,코타키나발루 국제공항,BKI,말레이시아
Kotlas Airport,코틀라스 공항,KSZ,러시아
Kotlik Airport,코틀릭 공항,KOT,미국
Koulamoutou Airport,쿨라무투 공항,KOU,가봉
Koumac Airport,쿠막 공항,KOC,뉴칼레도니아
Kowanyama Airport,고완야마 공항,KWM,오스트레일리아
Koyuk Alfred Adams Airport,코유크 알프레드 아담스 공항,KKA,미국
Koyukuk Airport,고유국공항,KYU,미국
Kozani National Airport,코자니 내셔널 공항,KZI,그리스
Kozushima Airport,고즈시마 공항,n/a,일본
Krabi Airport,끄라비 공항,KBV,태국
Krakow John Paul II International Airport,크라쿠프 요한 바오로 2세 국제공항,KRK,폴란드
Krasnodar International Airport,크라스노다르 국제공항,KRR,러시아
Krasnoselkup Airport,크라스노쿱 공항,KKQ,러시아
Krasnoyarsk Cheremshanka Airport,크라스노야르스크 체렘샨카 공항,KCY,러시아
Krayniy Airport,크라이니 공항,BXY,카자흐스탄
Kristiansand Airport Kjevik,크리스티안산 공항 케비크,KRS,노르웨이
Kristianstad Airport,크리스티안스타드 공항,KID,스웨덴
Kristiansund Airport Kvernberget,크리스티안순 크베른베리에트 공항 ,KSU,노르웨이
Kruger Mpumalanga International Airport,크루거 음푸말랑가 국제공항,MQP,남아프리카
Krui Muhammad Taufiq Kiemas Airport,무하마드 타우피크 키에마스 공항,n/a,인도네시아
Kryvyi Rih International Airport,크리비리흐 국제공항,KWG,우크라이나
Kuabang Airport,쿠아방 공항,KAZ,인도네시아
Kuala Lumpur International Airport,쿠알라룸푸르 국제공항,KUL,말레이시아
Kualanamu International Airport,쿠알라나무 국제공항,KNO,인도네시아
Kubin Airport,쿠빈 공항,KUG,오스트레일리아
Kuching International Airport,쿠칭 국제 공항,KCH,말레이시아
Kudat Airport,쿠닷 공항,KUD,말레이시아
Kufra Airport,쿠프라 공항,AKF,리비아
Kugaaruk Airport,쿠가룩 공항,YBB,캐나다
Kugluktuk Airport,쿠글룩툭 공항,YCO,캐나다
Kuito Airport,쿠이토 공항,SVP,앙골라
Kukes International Airport,쿠카스 국제공항,KFZ,알바니아
Kulhudhuffushi Airport,쿨후후푸시 공항,HDK,몰디브
Kulob Airport,쿨롭 공항,TJU,타지키스탄
Kulusuk Airport,쿨루수크 공항,KUS,그린란드
Kumamoto Airport,구마모토 공항,KMJ,일본
Kumejima Airport,구메지마 공항,UEO,일본
Kunduz Airport,쿤두즈 공항,UND,아프가니스탄
Kunming Changshui International Airport,쿤밍 창수이 국제공항,KMG,중국
Kunovice Airport,쿠노비체 공항,UHE,체코
Kuopio Airport,쿠오피오 공항,KUO,핀란드
Kuqa Qiuci Airport,쿠카 추치 공항,KCA,중국
Kuressaare Airport,쿠레사레 공항,URE,에스토니아
Kurgan Airport,쿠르간 공항,KRO,러시아
Kuria Airport,쿠리아 공항,KUC,키리바시
Kurnool Airport,쿠르놀 공항,KJB,인도
Kursk Vostochny Airport,쿠르스크 보스토크니 공항,URS,러시아
Kurumoch International Airport,쿠루모치 국제공항,KUF,러시아
Kushinagar International Airport,쿠시나가라 국제공항,KBK,인도
Kushiro Airport,구시로 공항,KUH,일본
Kushok Bakula Rimpochee Airport,쿠속 바쿨라 림포체 공항,IXL,인도
Kutacane Alas Leuser Airport,쿠타카네 알라스 레우저 공항,n/a,인도네시아
Kutahya Airport,쿠타히아 공항,n/a,터키
Kuujjuaq Airport,쿠주악 공항,YVP,캐나다
Kuujjuarapik Airport,쿠주아라픽 공항,YGW,캐나다
Kuusamo Airport,쿠사모 공항,KAO,핀란드
Kuwait International Airport,쿠웨이트 국제 공항,KWI,쿠웨이트
Kwailabesi Airport,콰일라베시 공항,KWS,솔로몬 제도
Kwethluk Airport,웨트룩 공항,KWT,미국
Kwigillingok Airport,크위길링곡 공항,KWK,미국
Kyaukpyu Airport,캬욱퓨 공항,KYP,미얀마
Kyiv International Airport,키예프 국제공항,IEV,우크라이나
Kyzyl Airport,키질 공항,KYZ,러시아
Kyzyl-Kiya Airport,키질기야 공항,n/a,키르기스스탄
Kyzylorda Airport,키질로르다 공항,KZO,카자흐스탄
L. M. Clayton Airport,L. M. 클레이튼 공항,OLF,미국
L.F. Wade International Airport,L. F. 웨이드 국제공항,BDA,버뮤다
La AraucanIa Airport,라 아라우카니아 공항,ZCO,칠레
La Aurora International Airport,라 아우로라 국제 공항,GUA,과테말라
La Chinita International Airport,라 치니타 국제 공항,MAR,베네수엘라
La Chorrera Airport,라 초레라 공항,LCR,콜롬비아
La Crosse Regional Airport,라크로스 공항,LSE,미국
La Cumbre Airport,라 쿰브레 공항,LCM,아르헨티나
La Florida Airport,라 플로리다 공항,LSC,칠레
La Florida Airport,라 플로리다 공항,TCO,콜롬비아
La Fortuna Arenal Airport,라 포르투나 아레날 공항,FON,코스타리카
La FrIa Airport,라 프리아 공항,LFR,베네수엘라
La Gomera Airport,라 고메라 공항,GMZ,스페인
La Grande Riviere Airport,라 그랑드 리비에르 공항,YGL,캐나다
La Isabela International Airport,라 이사벨라 국제공항,JBQ,도미니카공화국
La Macarena Airport,라 마카레나 공항,LMC,콜롬비아
La Mole Saint Tropez Airport,라 몰 생트로페 공항,LTT,프랑스
La Nubia Airport,라 누비아 공항,MZL,콜롬비아
La Palma Airport,라 팔마 공항,SPC,스페인
La Pedrera Airport,라 페드레라 공항,LPD,콜롬비아
La Plata Airport,라 플라 타 공항,LPG,아르헨티나
La Primavera Airport,라 프리마베라 공항,LPE,콜롬비아
La Rochelle Ile de Re Airport,라 로셸 일레 드 레 공항,LRH,프랑스
La Romaine Airport,라로메인 공항,ZGS,캐나다
La Romana International Airport,라 로마나 국제공항,LRM,도미니카공화국
La Ronge Airport,라 롱즈 공항,YVC,캐나다
La Seu d'Urgell Airport,라 세우 두르겔 공항,LEU,스페인
La Tabatiere Airport,라 타바티에르 공항,ZLT,캐나다
La Tontouta International Airport,라 톤투타 국제공항,NOU,뉴칼레도니아
La Tortuga Island Airport,라 토르투가 섬 공항,n/a,베네수엘라
La Vanguardia Airport,라 방과디아 공항,VVC,콜롬비아
Labasa Airport,라바사 공항,LBS,피지
Labo Airport,라보 공항,OZC,필리핀
Labrea Airport,라브레아 공항,LBR,브라질
Labuan Airport,라부앙 공항,LBU,말레이시아
Lac Brochet Airport,락 브로셰 공항,XLB,캐나다
Lae Airport,라에 공항,LML,마샬 군도
Lae Nadzab Airport,라에 나드잡 공항,LAE,파푸아뉴기니
Laeso Airport,라소 공항,BYR,덴마크
Lafayette Regional Airport,라파예트 공항,LFT,미국
Lago Agrio Airport,라고 아그리오 공항,LGQ,에콰도르
LaGuardia Airport,라과디아 공항,LGA,미국
Laguindingan Airport,라긴딩안 공항,CGY,필리핀
Lahad Datu Airport,라하드 다투 공항,LDU,말레이시아
Lajes Airport,라예즈 공항,TER,포르투갈
Lake Baringo Airport,레이크 바링고 공항,LBN,케냐
Lake Charles Regional Airport,레이크 찰스 공항,LCH,미국
Lake Evella Airport,레이크 에벨라 공항,LEL,오스트레일리아
Lake Macquarie Airport,레이크 맥쿼리 공항,BEO,오스트레일리아
Lake Manyara Airport,레이크 만야라 공항,LKY,탄자니아
Lake Minchumina Airport,레이크 민추미나 공항,LMA,미국
Lake Murray Airport,레이크 머레이 공항,LMY,파푸아뉴기니
Lake Simcoe Regional Airport,레이크 심코 지역공항,YLK,캐나다
Lake Tahoe Airport,레이크 타호 공항,TVL,미국
Lakeba Airport,라케바 공항,LKB,피지
LakeFieldAirport,레이크필드 공항,LFP,오스트레일리아
Lakefront Airport,레이크프론트 공항,NEW,미국
Lakeland Airport,레이크랜드 공항,ARV,미국
Lakeland Linder International Airport,레이크랜드 린더 국제공항,LAL,미국
Lakselv Airport Banak,바낙 공항,LKL,노르웨이
Lal Bahadur Shastri Airport,랄 바하두르 샤스트리 공항,VNS,인도
Lalibela Airport,랄리벨라 공항,LLI,이디오피아
Lambert St. Louis International Airport,램버트 세인트루이스 국제공항,STL,미국
Lamen Bay Airport,라멘 베이 공항,LNB,바누아투
Lamerd Airport,라머드 공항,LFM,이란
Lamezia Terme International Airport,라메지아 테르메 국제공항,SUF,이탈리아
Lamidanda Airport,라미단다 공항,LDN,네팔
Lampang Airport,람팡 공항,LPT,태국
Lampedusa Airport,람페두사 공항,LMP,이탈리아
Lanai Airport,라나이 공항,LNY,미국
Lancang Jingmai Airport,란창 징마이 공항,JMJ,중국
Lancaster Airport,랭커스터 공항,LNS,미국
Land's End Airport,랜즈엔드 공항,LEQ,영국
Langkawi International Airport,랑카위 국제 공항,LGK,말레이시아
Langley Regional Airport,랭글리 지역공항,YLY,캐나다
Langzhong Gucheng Airport,랑중 구청 공항,LZG,중국
Lankaran International Airport,랑카란 국제 공항,LLK,아제르바이잔
Lannion Cote de Granit Airport,라니옹 코트 드 그라니트 공항,LAI,프랑스
Lansdowne House Airport,랜스다운 하우스 공항,YLH,캐나다
Lanseria International Airport,란세리아 국제 공항,HLA,남아프리카
Lanyu Airport,란위 공항,KYD,대만
Lanzarote Airport,란사로테 공항,ACE,스페인
Lanzhou Zhongchuan International Airport,란저우 중촨 국제공항,LHW,중국
Laoag International Airport,라오아그 국제 공항,LAO,필리핀
Lappeenranta Airport,라펜란타 공항,LPP,핀란드
L'Aquila Preturo Airport,라퀼라 프레투로 공항,QAQ,이탈리아
Laramie Regional Airport,래러미 공항,LAR,미국
Laredo International Airport,라레도 국제 공항,LRD,미국
Larestan International Airport,라레스탄 국제 공항,LRR,이란
Larnaca International Airport,라르나카 국제 공항,LCA,키프러스
Larsen Bay Airport,라슨 베이 공항,KLN,미국
Las Americas International Airport,라스 아메리카스 국제 공항,SDQ,도미니카공화국
Las Brujas Airport,라스 브루하스 공항,BWW,쿠바
Las Brujas Airport,라스 브루하스 공항,CZU,콜롬비아
Las Flecheras Airport,라스 플레체라스 공항,SFD,베네수엘라
Las Higueras Airport,라스 이구에라스 공항,RCU,아르헨티나
Lashio Airport,라시오 공항,LSH,미얀마
Latur Airport,라투르 공항,LTU,인도
Laucala Airport,라우칼라 공항,LUC,피지
Laughlin/Bullhead International Airport,라플린/불헤드 국제공항,IFP,미국
Launceston Airport,론서스턴 공항,LST,오스트레일리아
Laurence G. Hanscom Field,로렌스 지 핸스컴 필드,BED,미국
Lauro Kurtz Airport,라우로 쿠르츠 공항,PFB,브라질
Lavan Airport,라반 공항,LVP,이란
Laverton Airport,래버튼 공항,LVO,오스트레일리아
Lawas Airport,라와스 공항,LWY,말레이시아
Lawton Fort Sill Regional Airport,로턴 포트실 공항,LAW,미국
Lazaro Cardenas Airport,라사로 카르데나스 공항,LZC,멕시코
Lbeck Airport,뤼베크 공항,LBC,독일
Lderitz Airport,루데리츠 공항,LUD,나미비아
Le Havre Octeville Airport,르아브르 옥트빌 공항,LEH,프랑스
Le Mans Arnage Airport,르망 아르나쥬 공항,LME,프랑스
Le Puy Loudes Airport,르 퓌 루드 공항,LPY,프랑스
Le Touquet Cote d'Opale Airport,르 투케,LTQ,프랑스
Lea County Regional Airport,레아 카운티 공항,HOB,미국
Learmonth Airport,리어먼스 공항,LEA,오스트레일리아
Lebak Airport,레박 공항,LWA,필리핀
Lebanon Municipal Airport,레바논 공항,LEB,미국
Lede Kalumbang,레데 칼룸방 공항,TMC,인도네시아
Leeds Bradford Airport,리즈 브래드 포드 공항,LBA,영국
Leesburg International Airport,리스버그 국제 공항,LEE,미국
Lehigh Valley International Airport,리하이 밸리 국제공항,ABE,미국
Leinster Airport,렌스터 공항,LER,오스트레일리아
Leipzig Altenburg Airport,라이프치히 알텐부르크 공항,AOC,독일
Leipzig/Halle Airport,라이프치히/할레 공항,LEJ,독일
Leite Lopes Airport,레이테 로페스 공항,RAO,브라질
Leknes Airport,레크네스 공항,LKN,노르웨이
Lelystad Airport,렐리스테이드 공항,LEY,네덜란드
Lemhi County Airport,레미 카운티 공항,SMN,미국
Lemnos International Airport,렘노스 국제 공항,LXS,그리스
Lengbati Airport,렝바티 공항,LNC,파푸아뉴기니
Lengpui Airport,렝푸이 공항,AJL,인도
Lensk Airport,렌스크 공항,ULK,러시아
Leon Airport,레온 공항,LEN,스페인
Leonardo da Vinci Fiumicino Airport,레오나르도 다빈치 피우미치노 공항,FCO,이탈리아
Leonora Airport,레오노라 공항,LNO,오스트레일리아
Leopold Sedar Senghor International Airport,레오폴드 세다르 셍호르 국제공항,DKR,세네갈
Leos Janacek AirportOstrava,오스트라바 레오슈 야나첵 공항,OSR,체코
Leros Municipal Airport,레로스 공항,LRS,그리스
Les Sables d'Olonne Talmont Airport,탈몽 공항,LSO,프랑스
Leshukonskoye Airport,레슈콘스코예 공항,LDG,러시아
L'Esperance Airport,레스페랑스 공항,SFG,세인트마틴(프랑스령)
Lethbridge Airport,레스브리지 공항,YQL,캐나다
Lethem Airport,레템 공항,LTM,가이아나
Letung Airport,레퉁 공항,LMU,인도네시아
Levelock Airport,레벨록 공항,KLL,미국
Levuka AirField,레부카 비행장,LEV,피지
Lewiston Nez Perce County Airport,루이스턴 네즈 퍼스 카운티 공항,LWS,미국
Lewistown Municipal Airport,루이스타운 공항,LWT,미국
Lhasa Gonggar Airport,라싸 공가르 공항,LXA,중국
Lianyungang Baitabu Airport,롄윈강 바이타부 공항,LYG,중국
Liberal Mid America Regional Airport,리버럴 미드 아메리카 공항,LBL,미국
Libertador General Jose de San MartIn Airport,리베르타도르 제네랄 호세 데 산 마르틴 공항,PSS,아르헨티나
Libo Airport,리보 공항,LLB,중국
Libreville International Airport,레온 음바 국제공항,LBV,가봉
Lic. JesUs Teran Peredo International Airport,헤수스 테란 페레도 국제공항,AGU,멕시코
Licenciado Adolfo Lopez Mateos International Airport,리센시아도 아돌포 로페스 마테오스 국제공항,TLC,멕시코
Licenciado Gustavo DIaz Ordaz International Airport,리센시아도 구스타보 디아스 오르다스 국제공항,PVR,멕시코
Licenciado Miguel de la Madrid Airport,리센시아도 미겔 데 라 마드리드 공항,CLQ,멕시코
Lichinga Airport,리칭가 공항,VXC,모잠비크
Liege Airport,리에주 공항,LGG,벨기에
Lien Khuong Airport,리엔크엉 공항,DLI,베트남
Liepaja International Airport,리에파야 국제공항,LPX,라트비아
Lifuka Island Airport,리푸카 아일랜드 공항,HPA,통가
Lihir Island Airport,리히르 아일랜드 공항,LNV,파푸아뉴기니
Lihue Airport,리후에 공항,LIH,미국
Lijiang Sanyi Airport,리장 산이 공항,LJG,중국
Likiep Airport,리키엡 공항,LIK,마샬 군도
Likoma Airport,리코마 공항,LIX,말라위
Lilabari Airport,릴라바리 공항,IXI,인도
Lille Airport,릴 공항,LIL,프랑스
Lilongwe International Airport,릴롱궤 국제공항,LLW,말라위
Limbang Airport,림방 공항,LMN,말레이시아
Limoges Bellegarde Airport,리모주 벨가르드 공항,LIG,프랑스
Limon International Airport,리몬 국제 공항,LIO,코스타리카
Linate Airport,리나테 공항,LIN,이탈리아
Lincang Airport,린창 공항,LNJ,중국
Lincoln Airport,링컨 공항,LNK,미국
Lindi Airport,린디 공항,LDI,탄자니아
Linfen Yaodu Airport,린펀 야오두 공항,LFQ,중국
Lingayen Airport,링가옌 공항,n/a,필리핀
Linhares Airport,린하레스 공항,LHN,브라질
Linkping Airport,린셰핑 공항,LPI,스웨덴
Linyi Qiyang Airport,린이 치양 공항,LYI,중국
Linz Airport,린츠 공항,LNZ,오스트리아
Lipa Basilio Fernando Air Base,리파 바실리오 페르난도 공군기지,n/a,필리핀
Lipetsk Airport,리페츠크 공항,LPK,러시아
Liping Airport,리핑 공항,HZH,중국
Lisala Airport,리살라 공항,LIQ,콩고 민주공화국
Lisbon Portela Airport,리스본 포르텔라 공항,LIS,포르투갈
Lismore Airport,리스모어 공항,LSY,오스트레일리아
Little Grand Rapids Airport,리틀 그랜드 래피즈 공항,ZGR,캐나다
Liupanshui Yuezhao Airport,류판수이 웨자오 공항,LPF,중국
Liuzhou Bailian Airport,리우저우 바이롄 공항,LZH,중국
Livermore Municipal Airport,리버모어 공항,LVK,미국
Liverpool John Lennon Airport,리버풀 존 레논 공항,LPL,영국
Lizard Island Airport,리자드 아일랜드 공항,LZR,오스트레일리아
Ljubljana JoZe Pucnik Airport,류블랴나 요제 푸치니크 공항,LJU,슬로베니아
Lleida Alguaire Airport,레이다 알게이르 공항,ILD,스페인
Lliang Airport,뤼량 공항,LLV,중국
Lloydminster Airport,로이드민스터 공항,YLL,캐나다
L'Mekrareg Airport,라구아트 공항,LOO,알제리
Loakan Airport,로아칸 공항,BAG,필리핀
Lockhart River Airport,록하트 리버 공항,IRG,오스트레일리아
Lodja Airport,로자 공항,LJA,콩고 민주공화국
Lodwar Airport,로드와르 공항,LOK,케냐
Lodz WLadysLaw Reymont Airport,우치 브와디스와프 레이몬트 공항,LCJ,폴란드
Loei Airport,로에이 공항,LOE,태국
Logan Cache Airport,로건 캐시 공항,LGU,미국
Logan International Airport,로건 국제 공항,BOS,미국
Logrono Agoncillo Airport,로그로뇨 아곤시요 공항,RJL,스페인
Loikaw Airport,로이카우 공항,LIW,미얀마
Loiyangalani Airport,로이양갈라니 공항,LOY,케냐
Lok Nayak Jayaprakash Airport,록 나약 자야프라카시 공항,PAT,인도
Lokichogio Airport,로키초지오 공항,LKG,케냐
Lokpriya Gopinath Bordoloi International Airport,록프리야 고피나트 보르돌로이 국제공항,GAU,인도
Lombok International Airport,롬복 국제 공항,LOP,인도네시아
Lome Tokoin Airport,로메 토코인 공항,LFW,토고
Lomlom Airport,롬롬 공항,LLM,솔로몬 제도
Lompoc Airport,롬폭 공항,LPC,미국
Loncopue Airport,롱코푸에 공항,LCP,아르헨티나
Londolozi Airport,론돌로지 공항,LDZ,남아프리카
London Biggin Hill Airport,런던 비긴힐 공항,BQH,영국
London City Airport,런던 시티 공항,LCY,영국
London Corbin Airport,런던 코빈 공항,LOZ,미국
London International Airport,런던 국제 공항,YXU,캐나다
London Southend Airport,런던 사우스엔드 공항,SEN,영국
London Stansted Airport,런던 스탠스테드 공항,STN,영국
Londrina Governador Jose Richa Airport,론드리나 고베르나도르 호세 리차 공항,LDB,브라질
Lone Star Executive Airport,론스타 이그제큐티브 공항,CXO,미국
Long Akah Airport,롱 아카 공항,LKH,말레이시아
Long Apung Airport,롱 아풍 공항,LPU,인도네시아
Long Banga Airport,롱 방가 공항,LBP,말레이시아
Long Beach Airport,롱비치 공항,LGB,미국
Long Island MacArthur Airport,롱 아일랜드 맥아더 공항,ISP,미국
Long Lellang Airport,롱렐랑 공항,LGL,말레이시아
Long Pasia Airport,롱 파시아 공항,GSA,말레이시아
Long Seridan Airport,롱세리단 공항,ODN,말레이시아
Longana Airport,롱가나 공항,LOD,바누아투
Longnan Chengzhou Airport,룽난 청저우 공항,LNL,중국
Longreach Airport,롱리치 공항,LRE,오스트레일리아
Longyan Guanzhishan Airport,룽옌 관지산 공항,LCX,중국
Lonorore Airport,로노로레 공항,LNE,바누아투
Lord Howe Island Airport,로드하우 아일랜드 공항,LDH,오스트레일리아
Loreto International Airport,로레토 국제 공항,LTO,멕시코
Lorient South Brittany Airport,로리앙 사우스 브리타니 공항,LRT,프랑스
Los Alamos County Airport,로스 알라모스 카운티 공항,LAM,미국
Los Angeles International Airport,로스 앤젤레스 국제 공항,LAX,미국
Los Cabos International Airport,로스 카보스 국제 공항,SJD,멕시코
Los Colonizadores Airport,로스 콜로니자도레스 공항,RVE,콜롬비아
Los Garzones Airport,로스 가조네스 공항,MTR,콜롬비아
Los Roques Airport,로스 로케스 공항,LRV,베네수엘라
Losinj Airport,로시니 공항,LSZ,크로아티아
Losuia Airport,로수이아 공항,LSA,파푸아뉴기니
Louang Namtha Airport,루앙 남타 공항,LXG,라오스
Louis Armstrong New Orleans International Airport,루이 암스트롱 뉴올리언스 국제공항,MSY,미국
Louisville Clark Regional Airport,루이빌 클라크 지역공항,n/a,미국
Louisville International Airport,루이빌 국제공항,SDF,미국
Lourdes de Blanc Sablon Airport,루르드 드 블랑 사블롱 공항,YBX,캐나다
Luanda Antonio Agostinho Neto International Airport,안토니오 아고스티뉴 네토 국제공항,NBJ,앙골라
Luang Prabang International Airport,루앙프라방 국제공항,LPQ,라오스
Luau Airport,루아우 공항,UAL,앙골라
